Date_Time,Author,Title,URL
27 октября 19:17,Автор не известен,"«Можно хаять СКА, но по факту клуб делает очень хорошую работу» — Щитов",https://matchtv.ru/hockey/matchtvnews_NI2125990_Mozhno_khajat_SKA_no_po_faktu_klub_delajet_ochen_khoroshuju_rabotu__Shhitov
27 октября 17:46,Автор не известен,"«Спартаку» нужно общаться с болельщиками, чтобы спорт был чище и дружелюбнее» — Быков",https://matchtv.ru/hockey/matchtvnews_NI2125890_Spartaku_nuzhno_obshhatsa_s_bolelshhikami_chtoby_sport_byl_chishhe_i_druzhelubneje__Bykov
27 октября 17:27,Артём Андриянов,"Тренер «Торпедо» Ларионов: «В матче с «Витязем» не хватило свежести. Соперник хотел победить больше, чем мы»",https://matchtv.ru/hockey/matchtvnews_NI2125883_Trener_Torpedo_Larionov_V_matche_s_Vitazem_ne_khvatilo_svezhesti_Sopernik_khotel_pobedit_bolshe_chem_my
27 октября 17:09,Сергей Астахов,"Звягин — о том, почему «Авангард» пропускает первым: «Пока в большинстве игр не находим противоядия»",https://matchtv.ru/hockey/matchtvnews_NI2125862_Zvagin__o_tom_pochemu_Avangard_propuskajet_pervym_Poka_v_bolshinstve_igr_ne_nahodim_protivojadija
27 октября 16:56,Артём Андриянов,"Тренер «Витязя» от победе над «Торпедо»: «Хорошо, что первая шайба не выбила нас из колеи»",https://matchtv.ru/hockey/matchtvnews_NI2125842_Trener_Vitaza_ot_pobede_nad_Torpedo_Khorosho_chto_pervaja_shajba_ne_vybila_nas_iz_kolei
27 октября 16:46,Автор не известен,«КХЛ должна регламентировать поведение болельщиков» — бывший хоккеист «Спартака»,https://matchtv.ru/hockey/matchtvnews_NI2125834_KKhL_dolzhna_reglamentirovat_povedenije_bolelshhikov__byvshij_khokkeist_Spartaka
27 октября 16:46,Автор не известен,«КХЛ должна регламентировать поведение болельщиков» — бывший хоккеист «Спартака»,https://matchtv.ru/hockey/matchtvnews_NI2125835_KKhL_dolzhna_reglamentirovat_povedenije_bolelshhikov__byvshij_khokkeist_Spartaka
27 октября 16:45,Сергей Астахов,"«Обидно проигрывать такие матчи, когда счастье было рядом» — тренер «Металлурга»",https://matchtv.ru/hockey/matchtvnews_NI2125833_Obidno_proigryvat_takije_matchi_kogda_schastje_bylo_radom__trener_Metallurga
27 октября 16:29,Автор не известен,«Авангард» в овертайме победил «Металлург» в матче КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2125827_Avangard_v_overtajme_pobedil_Metallurg_v_matche_KKhL
27 октября 15:57,Сергей Астахов,"«Безопасность и семейная атмосфера — это наш имидж. Здесь не должно быть грязи, нецензурщины, оскорблений» — Курбатов",https://matchtv.ru/hockey/matchtvnews_NI2125754_Bezopasnost_i_semejnaja_atmosfera__eto_nash_imidzh_Zdes_ne_dolzhno_byt_grazi_necenzurshhiny_oskorblenij__Kurbatov
27 октября 14:23,Владимир Пушкарев,Быков — о поведении болельщиков «Спартака» на матче со СКА: «Клубы должны иметь конструктивные контакты со своими фан‑клубами»,https://matchtv.ru/hockey/matchtvnews_NI2125708_Bykov__o_povedenii_bolelshhikov_Spartaka_na_matche_so_SKA_Kluby_dolzhny_imet_konstruktivnyje_kontakty_so_svoimi_fanklubami
27 октября 13:03,Автор не известен,«Авангард» объявил о подписании контракта с экс‑защитником СКА Грантом,https://matchtv.ru/hockey/matchtvnews_NI2125667_Avangard_objavil_o_podpisanii_kontrakta_s_ekszashhitnikom_SKA_Grantom
27 октября 12:08,Автор не известен,Игорь Уланов покинул тренерский штаб хоккейного «Спартака»,https://matchtv.ru/hockey/matchtvnews_NI2125651_Igor_Ulanov_pokinul_trenerskij_shtab_khokkejnogo_Spartaka
27 октября 10:32,Автор не известен,КХЛ оштрафовала «Спартак» за оскорбительные кричалки болельщиков в адрес СКА,https://matchtv.ru/hockey/matchtvnews_NI2125634_KKhL_oshtrafovala_Spartak_za_oskorbitelnyje_krichalki_v_adres_SKA
26 октября 22:51,Автор не известен,СКА подписал меморандум о сотрудничестве с Федерацией хоккея Турции,https://matchtv.ru/hockey/matchtvnews_NI2125505_SKA_podpisal_memorandum_o_sotrudnichestve_s_Federacijej_khokkeja_Turcii
26 октября 20:06,Антон Собровин,"Тарасова: «Я не хожу на хоккей с тех пор, как папа не работает. В СССР не было матерных и оскорбительных кричалок»",https://matchtv.ru/hockey/matchtvnews_NI2125358_Tarasova_Ja_ne_khozhu_na_khokkej_s_teh_por_kak_papa_ne_rabotajet_V_SSSR_ne_bylo_maternyh_i_oskorbitelnyh_krichalok
26 октября 19:20,Автор не известен,Дубль Точилкина не спас «Нефтехимик» от поражения в матче КХЛ с «Автомобилистом»,https://matchtv.ru/hockey/matchtvnews_NI2125313_Dubl_Tochilkina_ne_spas_Neftehimik_ot_porazhenija_v_matche_KKhL_s_Avtomobilistom
26 октября 18:30,Павел Лысенков,"Анисин о словах Каменского про фанатов «Спартака»: «Нужно смотреть правде в глаза, а не комментировать ситуацию так, как выгодно»",https://matchtv.ru/hockey/matchtvnews_NI2125253_Anisin_o_slovah_Kamenskogo_pro_fanatov_Spartaka_Nuzhno_smotret_pravde_v_glaza_a_ne_kommentirovat_situaciju_tak_kak_vygodno
26 октября 17:41,Автор не известен,«Спартак» направил письмо в КХЛ с просьбой дать оценку высказываниям Ротенберга в адрес фанатов,https://matchtv.ru/hockey/matchtvnews_NI2125213_Spartak_napravil_pismo_v_KKhL_s_prosboj_dat_ocenku_vyskazyvanijam_Rotenberga_v_adres_fanatov
26 октября 17:20,Автор не известен,«Спартак» обменял Рукавишникова в «Сибирь»,https://matchtv.ru/hockey/matchtvnews_NI2125199_Spartak_obmenal_Rukavishnikova_v_Sibir
26 октября 16:55,Павел Лысенков,Президент «Северстали» Колобов: «Цель клуба — выйти во второй раунд плей‑офф. Мы уже много лет туда не можем попасть»,https://matchtv.ru/hockey/matchtvnews_NI2125176_Prezident_Severstali_Kolobov_Cel_kluba__vyjti_vo_vtoroj_raund_plejoff_My_uzhe_mnogo_let_tuda_ne_mozhem_popast
26 октября 15:01,Автор не известен,"«Огромные вопросы к руководству «Амура». Бюджет практически максимальный, а результата — ноль» — Артюхин",https://matchtv.ru/hockey/matchtvnews_NI2125106_Ogromnyje_voprosy_k_rukovodstvu_Amura_Budzhet_prakticheski_maksimalnyj_a_rezultata__nol__Artuhin
26 октября 14:38,Антон Собровин,"Радимов — о кричалках «Спартака»: «Ротенберг прав. Выливать грязь на соперника — это не то, куда должен двигаться хоккей»",https://matchtv.ru/hockey/matchtvnews_NI2125099_Radimov__o_krichalkah_Spartaka_Rotenberg_prav_Vylivat_graz_na_sopernika__eto_ne_to_kuda_dolzhen_dvigatsa_khokkej
26 октября 13:03,Автор не известен,"Артюхин: «Не вижу смысла в отставке Звягина из «Авангарда», потому что замены пока нет»",https://matchtv.ru/hockey/matchtvnews_NI2125069_Artuhin_Ne_vizhu_smysla_v_otstavke_Zvagina_iz_Avangarda_potomu_chto_zameny_poka_net
26 октября 12:48,Артём Андриянов,«Смысл оскорблять другие команды? Позор болельщикам «Спартака» — Сушинский,https://matchtv.ru/hockey/matchtvnews_NI2125067_Smysl_oskorblat_drugije_komandy_Pozor_bolelshhikam_Spartaka__Sushinskij
26 октября 12:14,Автор не известен,«Барыс» расторг контракт с канадским хоккеистом Грантом,https://matchtv.ru/hockey/matchtvnews_NI2125061_Barys_rastorg_kontrakt_s_kanadskim_khokkeistom_Grantom
